stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,replicate
POST_IB_PRE_OB,351,9,1.0,5.0,0.7995391328506757,0.03703703703703698,0.17094017094017094,0.017094017094017096,0.922152616049961,0.017094017094017096,0.0,1,1,0.5277777777777778,PASS,PASS,33329,52,9,1.0,0.3418803418803419,0.6253561253561253,0.002849002849002849,0.002849002849002849,27
POST_OB_PRE_TO,15,9,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,98,85,9,1.0,0.33333333333333337,0.6533333333333337,0.06666666666666667,0.06666666666666667,27
PRE_IB,62,10,1.0,5.0,0.8855614973262033,0.04838709677419354,0.09677419354838712,0.0,0.9625532343824811,0.0,0.0,3,3,1.0,PASS,PASS,770,57,10,1.0,0.21774193548387094,0.4435483870967742,0.04838709677419355,0.04838709677419355,28
POST_IB_PRE_OB,250,10,1.0,5.0,0.9595861935608625,0.0040000000000000036,0.043999999999999984,0.0,0.9941820209470287,0.0,0.0,3,3,0.92,PASS,PASS,15924,57,10,1.0,0.178,0.39679999999999993,0.012,0.012,28
POST_OB_PRE_TO,17,10,1.0,5.0,0.9047619047619047,0.0,0.05882352941176472,0.058823529411764705,0.9476961394769613,0.058823529411764705,0.0,3,3,0.5,PASS,PASS,118,85,10,1.0,0.29411764705882354,0.7058823529411764,0.17647058823529413,0.17647058823529413,28
PRE_IB,54,9,1.0,5.0,0.872340425531915,0.037037037037037035,0.11111111111111105,0.037037037037037035,0.9543650793650793,0.037037037037037035,0.0,3,3,0.5,PASS,PASS,501,40,9,1.0,0.16666666666666666,0.47592592592592603,0.05555555555555555,0.05555555555555555,29
POST_IB_PRE_OB,251,9,1.0,5.0,0.9387585501502269,0.015936254980079667,0.0717131474103585,0.0,0.9874257604572836,0.0,0.0,3,3,0.5384615384615384,PASS,PASS,13572,40,9,1.0,0.1703187250996016,0.4123505976095617,0.01195219123505976,0.01195219123505976,29
POST_OB_PRE_TO,18,9,1.0,5.0,0.9558823529411764,0.0,0.05555555555555558,0.0,0.9872340425531915,0.0,0.0,3,1,0.5,PASS,PASS,133,84,9,1.0,0.3333333333333333,0.5833333333333334,0.16666666666666666,0.05555555555555555,29
PRE_IB,30,8,1.0,5.0,0.7904761904761906,0.06666666666666665,0.19999999999999998,0.06666666666666667,0.8935599284436495,0.0,0.06666666666666667,1,1,1.0,PASS,PASS,150,43,8,1.0,0.21666666666666665,0.3800000000000004,0.03333333333333333,0.03333333333333333,30
POST_IB_PRE_OB,246,8,1.0,5.0,0.7322178521431904,0.07317073170731703,0.2764227642276423,0.056910569105691054,0.8655553163994701,0.008130081300813009,0.04878048780487805,1,2,0.92,PASS,PASS,12435,43,8,1.0,0.27235772357723576,0.6341463414634154,0.0040650406504065045,0.008130081300813009,30
POST_OB_PRE_TO,15,8,1.0,5.0,0.9574468085106382,0.0,0.06666666666666665,0.0,0.988970588235294,0.0,0.0,1,1,0.5,PASS,PASS,95,82,8,1.0,0.33333333333333337,0.6333333333333333,0.06666666666666667,0.06666666666666667,30
PRE_IB,42,8,1.0,5.0,0.9568862275449102,0.0,0.04761904761904767,0.0,0.9917093391855646,0.0,0.0,1,1,1.0,PASS,PASS,298,49,8,1.0,0.2142857142857143,0.380952380952381,0.023809523809523808,0.023809523809523808,31
POST_IB_PRE_OB,216,8,1.0,5.0,0.9517696044413602,0.01851851851851849,0.04629629629629631,0.0,0.9933497525212346,0.0,0.0,2,2,0.9090909090909091,PASS,PASS,10139,49,8,1.0,0.23379629629629634,0.42592592592592593,0.009259259259259259,0.009259259259259259,31
