stage_a,stage_b,kendall_tau_b_difference,top10_overlap_difference,median_rank_displacement_difference,p90_rank_displacement_difference,median_consequence_priority_percentile_gap_difference,p90_consequence_priority_percentile_gap_difference,replicate
PRE_IB,POST_IB_PRE_OB,0.04515855338613328,-0.37603442568685863,-0.005508716194200028,-0.10570829260345393,-0.0227680026067123,-0.04534457478005843,39
PRE_IB,POST_OB_PRE_TO,-0.2893708972746356,-0.4114832535885168,0.09139784946236561,0.21308421164697117,-0.07843606941339293,-0.1803018205046309,39
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3345294506607689,-0.03544882790165815,0.09690656565656564,0.3187925042504251,-0.05566806680668063,-0.13495724572457246,39
PRE_IB,POST_IB_PRE_OB,0.07210244336713867,-0.1074074074074074,-0.00032059237196990775,-0.05998593530239099,-0.01596343178621662,-0.04218581947546962,40
PRE_IB,POST_OB_PRE_TO,-0.30497422982293165,0.11111111111111116,0.09722222222222221,0.2428980526918672,-0.09856815578465067,-0.15303550973654068,40
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3770766731900703,0.21851851851851856,0.09754281459419212,0.3028839879942582,-0.08260472399843405,-0.11084969026107105,40
PRE_IB,POST_IB_PRE_OB,-0.15819084431138986,-0.7615942028985507,0.07668173104765263,0.05120130191438599,-0.014690520435877485,0.02902000887002476,41
PRE_IB,POST_OB_PRE_TO,-0.46564158641586084,-0.6499999999999999,0.1758793969849246,0.33575091954618436,-0.07561000880692126,-0.09736828472258208,41
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.307450742104471,0.11159420289855082,0.09919766593727197,0.28454961763179837,-0.06091948837104377,-0.12638829359260684,41
PRE_IB,POST_IB_PRE_OB,0.03658392228399887,-0.019796380090497778,0.0102020323733783,-0.037827276952472566,-0.012930416171770515,-0.04883979136901173,42
PRE_IB,POST_OB_PRE_TO,-0.2185780908116206,0.08461538461538454,0.06201550387596899,0.224186046511628,-0.09457364341085275,-0.20069767441860475,42
