original_episode_id,decision_node_id,technical_node_id,stage,m,view_count,robust_high_consequence
sha256:a4272b2dbb59d804c80972be0345e6c68eefe5e5b15435f4eb7524b1083972fb,sha256:90a779143bae2a757e969822d635532d0221d6433363162d5dd05249b062f76e,sha256:90a779143bae2a757e969822d635532d0221d6433363162d5dd05249b062f76e,POST_IB_PRE_OB,3,0,False
sha256:ae88e6a57a9d1596e3f49145f73633957dd15ca16e2a0869ff9b84d580a4b124,sha256:dcac9d847cc1533d81b522407a089a5498d7e8cc0778b0b6329c68872c3900ef,sha256:dcac9d847cc1533d81b522407a089a5498d7e8cc0778b0b6329c68872c3900ef,POST_IB_PRE_OB,3,0,False
sha256:aedab96ddd9ea7a740af09f38e3b5ac1a054a44295e3fe2aeb3124eb2b2fab56,sha256:fe93aa29ed2faeee2282410b9f8ef887cdc47c8d91b36d91b81197fd08133424,sha256:fe93aa29ed2faeee2282410b9f8ef887cdc47c8d91b36d91b81197fd08133424,POST_IB_PRE_OB,3,0,False
sha256:af73cf46cc7e39445099a80730dce5c7af45a971852a5baf6896d89214397d38,sha256:55a990d1c0e83f83d884252fbcf00c9e7c3f762d956327d15ca4ad3824b2a8bc,sha256:55a990d1c0e83f83d884252fbcf00c9e7c3f762d956327d15ca4ad3824b2a8bc,POST_IB_PRE_OB,3,0,False
sha256:b1b5c499dfcd0d8c24a69167194439317710dc6a47a7c2d3000b45392cae7551,sha256:4b83ddf2fc0b26b2d58964f746f394d8c8af5a5936c7ea10bf5379dce4cb9187,sha256:4b83ddf2fc0b26b2d58964f746f394d8c8af5a5936c7ea10bf5379dce4cb9187,POST_IB_PRE_OB,3,2,False
sha256:b5233980f2c1df7d34acc3f0721fb7ac2a66808c1a837329f9fd3f49926f24dc,sha256:da2d2376e3b0976cc5f0bb6d5b3f902012a0998c41315da25a6f9ec0bf141ace,sha256:da2d2376e3b0976cc5f0bb6d5b3f902012a0998c41315da25a6f9ec0bf141ace,POST_IB_PRE_OB,3,0,False
sha256:b9a4fa94dafc0e3ad02143e811d8a97e414acf62bbd5363768564cff85896f70,sha256:41d8cbdd63863224badc09ea387183b762570e4377fe93838f095dda3d7b2c41,sha256:41d8cbdd63863224badc09ea387183b762570e4377fe93838f095dda3d7b2c41,POST_IB_PRE_OB,3,6,True
sha256:baac9bacdfb1e7985e9641fc25996dc5d24e9b89b2b3a6b50fe0aae193d75dc4,sha256:d8b1aa0a19b345d100b48a09dda67fd5e213f801bf849f37cfc19b3ebf52c069,sha256:d8b1aa0a19b345d100b48a09dda67fd5e213f801bf849f37cfc19b3ebf52c069,POST_IB_PRE_OB,3,7,True
sha256:bb6a3a1dfac623ada2d14aca8d6f5478d2d136818469561e8bfa82604cd6829a,sha256:ebfa8963e19ace180cd925bc3e4dcf02b0ef1b863ac72bbd85df70d45bcf3270,sha256:ebfa8963e19ace180cd925bc3e4dcf02b0ef1b863ac72bbd85df70d45bcf3270,POST_IB_PRE_OB,3,0,False
sha256:be3400a5a79081b7ee340d6a04016a28d151eb141eacdd8f262be7b298d1d1aa,sha256:7b0e2c8933583cfef8ee41c6a7bb596e32aa766beb2c43f28e904ec8fe6576d1,sha256:7b0e2c8933583cfef8ee41c6a7bb596e32aa766beb2c43f28e904ec8fe6576d1,POST_IB_PRE_OB,3,0,False
