decision_node_id,band,conditional_top1_action_id,top1_residual_risk_objective,top1_expected_constructed_eur,n_conditional_comparable_actions,support_status
sha256:e64e09ae2e6c0a80698b89eb4bf387b063c1bb1e7646a7242b15a63a6e805a72,BASE,A00,42.56792367759304,29.18713704500522,23,PARTIAL_DIAGNOSTIC
sha256:e64e09ae2e6c0a80698b89eb4bf387b063c1bb1e7646a7242b15a63a6e805a72,HIGH,A00,85.13584735518609,58.37427409001044,23,PARTIAL_DIAGNOSTIC
sha256:8e4cdca274db40a875edadf57d190d45a9e53eb497952b6d660556d1c3b1bae0,LOW,A00,21.40207745018582,14.713945897955563,23,PARTIAL_DIAGNOSTIC
sha256:8e4cdca274db40a875edadf57d190d45a9e53eb497952b6d660556d1c3b1bae0,BASE,A00,42.80415490037164,29.427891795911126,23,PARTIAL_DIAGNOSTIC
sha256:8e4cdca274db40a875edadf57d190d45a9e53eb497952b6d660556d1c3b1bae0,HIGH,A00,85.60830980074329,58.85578359182225,23,PARTIAL_DIAGNOSTIC
sha256:775ce8df63897d147be878c68f80d0dd0e1c36ec9ebc98568d29b2dafc78d068,LOW,A00,21.476949050742476,14.792654198673832,23,PARTIAL_DIAGNOSTIC
sha256:775ce8df63897d147be878c68f80d0dd0e1c36ec9ebc98568d29b2dafc78d068,BASE,A00,42.95389810148495,29.585308397347664,23,PARTIAL_DIAGNOSTIC
sha256:775ce8df63897d147be878c68f80d0dd0e1c36ec9ebc98568d29b2dafc78d068,HIGH,A00,85.9077962029699,59.17061679469533,23,PARTIAL_DIAGNOSTIC
sha256:65b7fafbac85b37cb5cf5fbb935e61d4b914dadc26026855a1eea1bafd814d2d,LOW,A00,21.25782486223186,14.624132988532052,23,PARTIAL_DIAGNOSTIC
sha256:65b7fafbac85b37cb5cf5fbb935e61d4b914dadc26026855a1eea1bafd814d2d,BASE,A00,42.51564972446372,29.248265977064104,23,PARTIAL_DIAGNOSTIC
sha256:65b7fafbac85b37cb5cf5fbb935e61d4b914dadc26026855a1eea1bafd814d2d,HIGH,A00,85.03129944892744,58.49653195412821,23,PARTIAL_DIAGNOSTIC
