iata,ident,lat,lon,timezone
BKX,KBKX,44.304798,-96.816902,America/Chicago
BLF,KBLF,37.29579925537109,-81.20770263671875,America/New_York
BLH,KBLH,33.6192016602,-114.717002869,America/Los_Angeles
BLI,KBLI,48.79280090332031,-122.53800201416016,America/Los_Angeles
BLM,KBLM,40.18690109,-74.12490082,America/New_York
BLU,KBLU,39.2750015259,-120.709999084,America/Los_Angeles
BLV,KBLV,38.5452,-89.835197,America/Chicago
BMC,KBMC,41.552399,-112.061996,America/Denver
BMG,KBMG,39.14599990844727,-86.61669921875,America/Indiana/Indianapolis
BMI,KBMI,40.4771,-88.915901,America/Chicago
BML,KBML,44.57540131,-71.17590332,America/New_York
BMT,KBMT,30.070635,-94.215746,America/Chicago
BNA,KBNA,36.1245002746582,-86.6781997680664,America/Chicago
BNG,KBNG,33.922548,-116.850672,America/Los_Angeles
BNL,KBNL,33.25780106,-81.38829803,America/New_York
BNO,KBNO,43.5918998718,-118.955001831,America/Los_Angeles
BNW,KBNW,42.0495986938,-93.8476028442,America/Chicago
BOI,KBOI,43.5644,-116.223,America/Boise
BOS,KBOS,42.3643,-71.005203,America/New_York
BOW,KBOW,27.943399,-81.783401,America/New_York
HCA,KBPG,32.212601,-101.522003,America/Chicago
BPI,KBPI,42.58509827,-110.1110001,America/Denver
WMH,KBPK,36.3689002991,-92.4704971313,America/Chicago
BPT,KBPT,29.9508,-94.020699,America/Chicago
BQK,KBQK,31.2588005065918,-81.46649932861328,America/New_York
BRD,KBRD,46.39830017,-94.13809967,America/Chicago
BRL,KBRL,40.783199310302734,-91.12550354003906,America/Chicago
BRO,KBRO,25.90679931640625,-97.4259033203125,America/Chicago
BRY,KBRY,37.8143005371,-85.4996032715,America/New_York
BTF,KBTF,40.8694000244,-111.927001953,America/Denver
BTL,KBTL,42.307301,-85.251503,America/Detroit
BTM,KBTM,45.95479965209961,-112.49700164794922,America/Denver
TTO,KBTN,45.815200805664,-97.743103027344,America/Chicago
BTP,KBTP,40.776901,-79.949699,America/New_York
BTR,KBTR,30.533199,-91.149597,America/Chicago
BTV,KBTV,44.4719009399,-73.15329742429999,America/New_York
BTY,KBTY,36.8610992432,-116.787002563,America/Los_Angeles
BUB,KBUB,41.7766990662,-99.14969635010002,America/Chicago
BUF,KBUF,42.94049835,-78.73220062,America/New_York
BUM,KBUM,38.2897987366,-94.3401031494,America/Chicago
BUR,KBUR,34.197703,-118.356378,America/Los_Angeles
BFP,KBVI,40.7724990845,-80.39140319820001,America/New_York
BVO,KBVO,36.76250076,-96.01119995,America/Chicago
MVW,KBVS,48.4709014893,-122.42099762,America/Los_Angeles
BVX,KBVX,35.7262001,-91.64730072,America/Chicago
BVY,KBVY,42.584202,-70.916496,America/New_York
BWC,KBWC,32.99290085,-115.5169983,America/Los_Angeles
BWD,KBWD,31.7936000824,-98.9564971924,America/Chicago
BWG,KBWG,36.9645004272,-86.41970062259999,America/Chicago
BWI,KBWI,39.1754,-76.668297,America/New_York
WAH,KBWP,46.2440986633,-96.6073989868,America/Chicago
BWM,KBWW,46.1655193,-103.30075,America/Denver
BXA,KBXA,30.8136997223,-89.8649978638,America/Chicago
BXK,KBXK,33.422397,-112.686317,America/Phoenix
BYG,KBYG,44.3810997009,-106.722000122,America/Denver
BYH,KBYH,35.9642982483,-89.94400024410001,America/Chicago
BYI,KBYI,42.5425987244,-113.772003174,America/Boise
BYS,KBYS,35.2804985046,-116.629997253,America/Los_Angeles
BBC,KBYY,28.973301,-95.863503,America/Chicago
BZN,KBZN,45.77750015,-111.1529999,America/Denver
XES,KC02,42.614899,-88.389603,America/Chicago
PLY,KC65,41.365100860596,-86.300498962402,America/Indiana/Indianapolis
CLG,KC80,36.16310119628906,-120.29399871826172,America/Los_Angeles
CAD,KCAD,44.275749,-85.421534,America/Detroit
CAE,KCAE,33.938801,-81.119499,America/New_York
CIG,KCAG,40.4952011108,-107.522003174,America/Denver
CAK,KCAK,40.91609954833984,-81.44219970703125,America/New_York
CAO,KCAO,36.4462013245,-103.166999817,America/Denver
CAR,KCAR,46.8714981079,-68.0178985596,America/New_York
CBE,KCBE,39.615398407,-78.7609024048,America/New_York
CBF,KCBF,41.2592010498,-95.760597229,America/Chicago
CBK,KCBK,39.42750168,-101.0469971,America/Chicago
CBM,KCBM,33.643799,-88.443802,America/Chicago
KCC,KCC,56.003200531,-132.841995239,America/Sitka
CCB,KCCB,34.1115989685,-117.68800354,America/Los_Angeles
CCR,KCCR,37.9897003174,-122.056999207,America/Los_Angeles
CCY,KCCY,43.0726013184,-92.6108016968,America/Chicago
LLX,KCDA,44.5690994263,-72.0179977417,America/New_York
CDC,KCDC,37.70100021362305,-113.0989990234375,America/Denver
CDH,KCDH,33.6227989197,-92.7633972168,America/Chicago
CDN,KCDN,34.2835998535,-80.56490325930001,America/New_York
CDR,KCDR,42.837600708,-103.095001221,America/Denver
CDS,KCDS,34.4337997437,-100.288002014,America/Chicago
CDW,KCDW,40.875198364300005,-74.2814025879,America/New_York
CEA,KCEA,37.648601532,-97.2506027222,America/Chicago
CEC,KCEC,41.78020096,-124.2369995,America/Los_Angeles
CEF,KCEF,42.19400024,-72.53479767,America/New_York
CEU,KCEU,34.6719017,-82.8864975,America/New_York
CEV,KCEV,39.6985015869,-85.129699707,America/Indiana/Indianapolis
CEW,KCEW,30.778799057,-86.522102356,America/Chicago
CEY,KCEY,36.66460037,-88.37280273,America/Chicago
CEZ,KCEZ,37.3030014038,-108.627998352,America/Denver
CFD,KCFD,30.7157001495,-96.3313980103,America/Chicago
TZC,KCFS,43.458801269531,-83.445503234863,America/Detroit
CFT,KCFT,32.957039,-109.211397,America/Phoenix
CFV,KCFV,37.09400177,-95.5718994141,America/Chicago
KCG,KCG,56.3178,-158.589818,America/Anchorage
CGE,KCGE,38.53929901,-76.03040314,America/New_York
CGF,KCGF,41.5651016235,-81.4863967896,America/New_York
CGI,KCGI,37.2253,-89.570801,America/Chicago
CGS,KCGS,38.9805984497,-76.9223022461,America/New_York
CGX,KCGX,41.85879898071289,-87.60790252685547,America/Chicago
CGZ,KCGZ,32.954899,-111.766998,America/Phoenix
CHA,KCHA,35.035301,-85.203796,America/New_York
CHK,KCHK,35.09740067,-97.96769714,America/Chicago
CHO,KCHO,38.13859939575195,-78.4529037475586,America/New_York
CHS,KCHS,32.898602,-80.040497,America/New_York
CIC,KCIC,39.79539871,-121.8580017,America/Los_Angeles
CID,KCID,41.884701,-91.7108,America/Chicago
CIN,KCIN,42.0461997986,-94.7890014648,America/Chicago
CIR,KCIR,37.0644989014,-89.2195968628,America/Chicago
CIU,KCIU,46.25080108642578,-84.47239685058594,America/Detroit
CKA,KCKA,36.7439002991,-98.1231002808,America/Chicago
CKB,KCKB,39.2966003418,-80.2281036377,America/New_York
GRM,KCKC,47.8382987976,-90.3828964233,America/Chicago
CKM,KCKM,34.2997016907,-90.512298584,America/Chicago
CKN,KCKN,47.8417015076,-96.62159729,America/Chicago
CKV,KCKV,36.6218986511,-87.4150009155,America/Chicago
KCL,KCL,56.31119919,-158.5359955,America/Anchorage
CLE,KCLE,41.4117012024,-81.8498001099,America/New_York
CLI,KCLI,44.6138000488,-88.731300354,America/Chicago
CLK,KCLK,35.53829956,-98.93270111,America/Chicago
CLL,KCLL,30.58860016,-96.36380005,America/Chicago
CLM,KCLM,48.12020111083984,-123.5,America/Los_Angeles
CLR,KCLR,33.1315002441,-115.521003723,America/Los_Angeles
CLS,KCLS,46.6769981384,-122.983001709,America/Los_Angeles
CLT,KCLT,35.2140007019043,-80.94309997558594,America/New_York
