episode_id,component,channel,comparison,absolute_mean_distortion,absolute_tail_distortion,n_nodes
sha256:56fd853a34b14f4f2c93241dfde7c8a8978cb393bc464515c91e4837bd3cf201,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:56fd853a34b14f4f2c93241dfde7c8a8978cb393bc464515c91e4837bd3cf201,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,9
sha256:56fd853a34b14f4f2c93241dfde7c8a8978cb393bc464515c91e4837bd3cf201,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:56fd853a34b14f4f2c93241dfde7c8a8978cb393bc464515c91e4837bd3cf201,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:5beb1a6d99bbbd17fd51c7fbc4ef4e63ed2d7101e5ceda1492c756db1f2122c7,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,13
sha256:5beb1a6d99bbbd17fd51c7fbc4ef4e63ed2d7101e5ceda1492c756db1f2122c7,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,13
sha256:61faf60db885a5f7432518ff29e228ecf3f8d4aa0f4e90860233da996e7d6fc7,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:61faf60db885a5f7432518ff29e228ecf3f8d4aa0f4e90860233da996e7d6fc7,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,9
sha256:61faf60db885a5f7432518ff29e228ecf3f8d4aa0f4e90860233da996e7d6fc7,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:61faf60db885a5f7432518ff29e228ecf3f8d4aa0f4e90860233da996e7d6fc7,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:62af01a047ac10066296e766243f1e1f3f03b4b107a166319407db7df23f4dc4,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,11
sha256:62af01a047ac10066296e766243f1e1f3f03b4b107a166319407db7df23f4dc4,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,11
sha256:63332b181b4f85d57c3f1f8aa629d80c9386423705d6bac0512a19938277ed18,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,12
sha256:63332b181b4f85d57c3f1f8aa629d80c9386423705d6bac0512a19938277ed18,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,12
sha256:63332b181b4f85d57c3f1f8aa629d80c9386423705d6bac0512a19938277ed18,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:63332b181b4f85d57c3f1f8aa629d80c9386423705d6bac0512a19938277ed18,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:63a73f9efff44891959717f3e7a601c46a19896544d7816d7d7608b43d12d6ba,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,7
sha256:63a73f9efff44891959717f3e7a601c46a19896544d7816d7d7608b43d12d6ba,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,7
sha256:651d1c25c6869ad0047b73cebaf29447014385404c2a6300ab266c3af01b5b5b,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,14
sha256:651d1c25c6869ad0047b73cebaf29447014385404c2a6300ab266c3af01b5b5b,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,14
sha256:651d1c25c6869ad0047b73cebaf29447014385404c2a6300ab266c3af01b5b5b,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
