decision_node_id,response_sensitivity,a00_baseline_action_id,a00_baseline_objective,conditional_diagnostic_top1_action_id,factual_non_a00_candidate_count,supported_non_a00_candidate_count,operational_non_a00_candidate_count,recommendation_status,recommended_action_id,recommended_objective
sha256:02684584ef98ea26be29e16726bb61a94de0411c2b5b586eff555b461490de56,BASE,A00,43.3108074153364,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02684584ef98ea26be29e16726bb61a94de0411c2b5b586eff555b461490de56,HIGH,A00,86.6216148306728,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02684584ef98ea26be29e16726bb61a94de0411c2b5b586eff555b461490de56,LOW,A00,21.6554037076682,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:026c6375a95ff3f798f783e3a7a7d23c121edd2081c32bab3052f2dadc544993,BASE,A00,43.36560671263642,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:026c6375a95ff3f798f783e3a7a7d23c121edd2081c32bab3052f2dadc544993,HIGH,A00,86.73121342527284,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:026c6375a95ff3f798f783e3a7a7d23c121edd2081c32bab3052f2dadc544993,LOW,A00,21.68280335631821,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0276053f0c0711c60f8ab299b47c0a2e9f04272248282d34ee11b36360625a38,BASE,A00,46.187500496168155,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0276053f0c0711c60f8ab299b47c0a2e9f04272248282d34ee11b36360625a38,HIGH,A00,92.37500099233631,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0276053f0c0711c60f8ab299b47c0a2e9f04272248282d34ee11b36360625a38,LOW,A00,23.093750248084078,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02ba1f8cbd34b58a13710cb589b4426b8d0c0048c39c6835180e6c0780a668d7,BASE,A00,40.512056515776464,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02ba1f8cbd34b58a13710cb589b4426b8d0c0048c39c6835180e6c0780a668d7,HIGH,A00,81.02411303155293,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02ba1f8cbd34b58a13710cb589b4426b8d0c0048c39c6835180e6c0780a668d7,LOW,A00,20.256028257888232,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02e57aa7ebb48ecd3ef60ef3dcd68c07f5cd84dbd0a4cf92369fefbdc851cfe2,BASE,A00,42.76290810959658,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02e57aa7ebb48ecd3ef60ef3dcd68c07f5cd84dbd0a4cf92369fefbdc851cfe2,HIGH,A00,85.52581621919316,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
